auction_id,uasg_id,auction_number
2500370000012010,250037,0000012010
2530110000012010,253011,0000012010
2530200000012010,253020,0000012010
2530280000012010,253028,0000012010
2550040000012010,255004,0000012010
3730800000012010,373080,0000012010
5101810000012010,510181,0000012010
5104800000012010,510480,0000012010
5112860000012010,511286,0000012010
5118570000012010,511857,0000012010
7843300000012010,784330,0000012010
9260120000012010,926012,0000012010
1200470000012011,120047,0000012011
1300560000012011,130056,0000012011
1300780000012011,130078,0000012011
1501540000012011,150154,0000012011
1530580000012011,153058,0000012011
1581970000012011,158197,0000012011
1581980000012011,158198,0000012011
1584350000012011,158435,0000012011
1600020000012011,160002,0000012011
1601940000012011,160194,0000012011
1602190000012011,160219,0000012011
1604030000012011,160403,0000012011
1604730000012011,160473,0000012011
1680070000012011,168007,0000012011
1700190000012011,170019,0000012011
1701140000012011,170114,0000012011
1701250000012011,170125,0000012011
1702180000012011,170218,0000012011
1703050000012011,170305,0000012011
1930280000012011,193028,0000012011
1931140000012011,193114,0000012011
1931170000012011,193117,0000012011
1940360000012011,194036,0000012011
1950030000012011,195003,0000012011
2000230000012011,200023,0000012011
2000410000012011,200041,0000012011
2002060000012011,200206,0000012011
2530140000012011,253014,0000012011
2550180000012011,255018,0000012011
2550190000012011,255019,0000012011
3230020000012011,323002,0000012011
3440020000012011,344002,0000012011
3730440000012011,373044,0000012011
3730850000012011,373085,0000012011
3800490000012011,380049,0000012011
5118280000012011,511828,0000012011
5330130000012011,533013,0000012011
9250480000012011,925048,0000012011
9256090000012011,925609,0000012011
9258690000012011,925869,0000012011
9259770000012011,925977,0000012011
9260120000012011,926012,0000012011
0100010000012012,010001,0000012012
1200760000012012,120076,0000012012
1300110000012012,130011,0000012012
1301280000012012,130128,0000012012
1530480000012012,153048,0000012012
1581250000012012,158125,0000012012
1584090000012012,158409,0000012012
1584650000012012,158465,0000012012
1584840000012012,158484,0000012012
1604730000012012,160473,0000012012
1680060000012012,168006,0000012012
1680070000012012,168007,0000012012
1700940000012012,170094,0000012012
1701690000012012,170169,0000012012
1931100000012012,193110,0000012012
1931220000012012,193122,0000012012
1931260000012012,193126,0000012012
1940750000012012,194075,0000012012
2002060000012012,200206,0000012012
2002470000012012,200247,0000012012
2400310000012012,240031,0000012012
2500160000012012,250016,0000012012
2530050000012012,253005,0000012012
2550200000012012,255020,0000012012
2570240000012012,257024,0000012012
2570260000012012,257026,0000012012
2570450000012012,257045,0000012012
3430020000012012,343002,0000012012
3730440000012012,373044,0000012012
3730480000012012,373048,0000012012
3800490000012012,380049,0000012012
3894420000012012,389442,0000012012
3930130000012012,393013,0000012012
5118280000012012,511828,0000012012
5900010000012012,590001,0000012012
7853100000012012,785310,0000012012
7853440000012012,785344,0000012012
9261590000012012,926159,0000012012
0900030000012013,090003,0000012013
0900200000012013,090020,0000012013
1200310000012013,120031,0000012013
1200340000012013,120034,0000012013
1200800000012013,120080,0000012013
1540480000012013,154048,0000012013
1583010000012013,158301,0000012013
1583080000012013,158308,0000012013
1583340000012013,158334,0000012013
1583580000012013,158358,0000012013
1584370000012013,158437,0000012013
1587050000012013,158705,0000012013
1600700000012013,160070,0000012013
1600830000012013,160083,0000012013
1601590000012013,160159,0000012013
1602190000012013,160219,0000012013
1604180000012013,160418,0000012013
1604370000012013,160437,0000012013
1680070000012013,168007,0000012013
1700300000012013,170030,0000012013
1700420000012013,170042,0000012013
1700590000012013,170059,0000012013
1700810000012013,170081,0000012013
1701020000012013,170102,0000012013
1701410000012013,170141,0000012013
1701710000012013,170171,0000012013
1703450000012013,170345,0000012013
1930280000012013,193028,0000012013
1931160000012013,193116,0000012013
1931190000012013,193119,0000012013
1931200000012013,193120,0000012013
1931260000012013,193126,0000012013
1940360000012013,194036,0000012013
1950060000012013,195006,0000012013
1950120000012013,195012,0000012013
2000870000012013,200087,0000012013
2001150000012013,200115,0000012013
2002340000012013,200234,0000012013
2500150000012013,250015,0000012013
2500190000012013,250019,0000012013
2500230000012013,250023,0000012013
2570390000012013,257039,0000012013
2570450000012013,257045,0000012013
3430070000012013,343007,0000012013
3430280000012013,343028,0000012013
3800480000012013,380048,0000012013
3800490000012013,380049,0000012013
3930130000012013,393013,0000012013
5109100000012013,510910,0000012013
5116740000012013,511674,0000012013
5800190000012013,580019,0000012013
5800250000012013,580025,0000012013
5900010000012013,590001,0000012013
7843200000012013,784320,0000012013
7848100000012013,784810,0000012013
7853310000012013,785331,0000012013
9260910000012013,926091,0000012013
0700080000012014,070008,0000012014
0700270000012014,070027,0000012014
0900390000012014,090039,0000012014
1101020000012014,110102,0000012014
1154060000012014,115406,0000012014
1300280000012014,130028,0000012014
1300570000012014,130057,0000012014
1300670000012014,130067,0000012014
1300780000012014,130078,0000012014
1350330000012014,135033,0000012014
1501480000012014,150148,0000012014
1530480000012014,153048,0000012014
1531770000012014,153177,0000012014
1581390000012014,158139,0000012014
1581980000012014,158198,0000012014
1582960000012014,158296,0000012014
1583010000012014,158301,0000012014
1583640000012014,158364,0000012014
1583800000012014,158380,0000012014
1584290000012014,158429,0000012014
1589510000012014,158951,0000012014
1600030000012014,160003,0000012014
1600470000012014,160047,0000012014
1604790000012014,160479,0000012014
1700280000012014,170028,0000012014
1700410000012014,170041,0000012014
1700940000012014,170094,0000012014
1701000000012014,170100,0000012014
1701060000012014,170106,0000012014
1701080000012014,170108,0000012014
1701100000012014,170110,0000012014
1701610000012014,170161,0000012014
